id;codigo_it;codfabrica_it;producto_it;marka_it;fabricante_it;precom_it;pje1_it;pje2_it;pje3_it;pje4_it;pjecred1_it;pjecred2_it;pjecred3_it;stockmin_it;lugar_al_it;stock_it
0;0;0;ADAPTADOR C-USBh CABLE;;;8;;;;;;;;;;
;;;ADAPTADOR HDMI-VGA CABLE;;;14;;;;;;;;;;
;;AUDIO 7.1;ADAPTADOR USB AUDIO 7.1;AUDIO 7.1;;18;;;;;;;;;;
;;ETA1137M;AUDIFONO CALAVERA EWTTOETA1137M;ETA1137M;;3;;;;;;;;;;
;;AUDIVAR;AUDIFONO COLORES - LG, MOTOROLA (VARIOS);AUDIVAR;;5.5;;;;;;;;;;
;;;CÁMARA EZVIZ C2C FULL HD;;;115;;;;;;;;;;
;;CF-STD;"COOLER FUENTE ESTÁNDAR 3"" CASE CYBERCOOL";CF-STD;;4.6;;;;;;;;;;
;;CF-GRANDE;COOLER FUENTE GRANDE ??  CASE CYBERCOOL;CF-GRANDE;;12;;;;;;;;;;
;;HA-69;COOLERPAD FOR NOTEBOOK HA-69 STAND CYBERCOOL;HA-69;;28;;;;;;;;;;
;;HA-80;COOLERPAD FOR NOTEBOOK HA-80 CYBERCOOL BASE ALUMINIO;HA-80;;55.5;;;;;;;;;;
;;HA-K1;COOLERPAD GAMER LAPTOP HA-K1 CYBERCOOL 4X12RED;HA-K1;;45.6;;;;;;;;;;
;;;DISCO SSD KINGSTON 480GB. ESTUCHE A400;;;107;;;;;;;;;;
;;ATX-600W;FUENTE DE PODER ATX 600W HALION CAJA DOBLE BOBINA;ATX-600W;;40.11;;;;;;;;;;
;;FUN-MINI;FUNDA MINILAPTOP;FUN-MINI;;;;;;;;;;;;
;;HA-8012;GAME PAD WIRELESS HA-8012 NEGRO HALION;HA-8012;;44.694;;;;;;;;;;
;;STN-28;HEADSET AUDIFONO CAT WIRELESS STN-28;STN-28;;25;;;;;;;;;;
;;STN-27;HEADSET AUDIFONO UNICORNIO WIRELESS STN-27;STN-27;;28;;;;;;;;;;
;;MOD-SONY;HEADSET AUDIFONO WIRELESS COLORFUL (MOD SONY);MOD-SONY;;10;;;;;;;;;;
;;HA-H820;HEADSET GAMER HALION HORNET HA-H820 LED RED USB+3.5;HA-H820;;34.822;;;;;;;;;;
;;S4;HEADSET GAMER HALION S4 COBRA NG/ROJO;S4;;31.324;;;;;;;;;;
;;TM-200 RGB;MICROFONO DESKTOP GAMER HALION TM-200 RGB;TM-200 RGB;;35.144;;;;;;;;;;
;;TM-08;MICROFONO DESKTOP HALION TM-08 NEGRO PLASTICO;TM-08;;15.96;;;;;;;;;;
;;TM-300;MICROFONO PEDESTAL HALION TM-300 SILVER;TM-300;;25.5;;;;;;;;;;
;;HA-M930;MOUSE GAMER HALION ASGARD HA-M930 7LED;HA-M930;;21.78;;;;;;;;;;
;;HA-M203;MOUSE GAMER HALION OHIO HA-M203 4B LED;HA-M203;;21.78;;;;;;;;;;
;;HA-912;MOUSE GAMER HALION SPIDER HA-912;HA-912;;21.78;;;;;;;;;;
;;TF-5070N;MOUSE TEROS TF-5070N;TF-5070N;;15;;;;;;;;;;
;;MSC210;PAD MOUSE (RUBBER) DISEÑOS VARIOS 20X24 MSC210;MSC210;;3.4065;;;;;;;;;;
;;MP-14 RGB;PAD MOUSE GAMER MP-14 RGB 35x25x3cm MARCA HALION;MP-14 RGB;;34.38;;;;;;;;;;
;;MP-15 RGB;PAD MOUSE GAMER MP-15 RGB 80x30x3CM EN CAJA HALION;MP-15 RGB;;56.154;;;;;;;;;;
;;YP-01B;PARLANTE BLUETOOTH (JBL) YP-01B;YP-01B;;27;;;;;;;;;;
;;HA-2019;"PARLANTE C/BATERIA HALION HA-2019 FLOW,2x6.5"" 600W";HA-2019;;345.6718;;;;;;;;;;
;;SK-600;PARLANTE GAMER USB BARRA XTRIKE ME SK-600 RGB;SK-600;;59.2482;;;;;;;;;;
;;CR2032;PILAS CR2032 MAINBOARD;CR2032;;1.4;;;;;;;;;;
