id;codigo_it;codfabrica_it;producto_it;marka_it;fabricante_it;precom_it;pje1_it;pje2_it;pje3_it;pje4_it;pjecred1_it;pjecred2_it;pjecred3_it;stockmin_it;lugar_al_it;stock_it;;;;;;;;;
1;1;GT126 11R 22.5 /16PR ;GT126 NEUMATICOS GRANDSTONE 11R 22.5-16PR;GRANDSTONE;;150.17;25;20;15;0;2;0;0;50;;140;;;;;;;;;
2;2;GT168 11R 22.5 /16PR ;GT168 NEUMATICOS GRANDSTONE  11R 22.5-16PR;GRANDSTONE;;150.17;25;20;15;0;2;0;0;50;;280;;;;;;;;;
3;3;GT178 11R 22.5 /16PR;GT178 NEUMATICOS GRANDSTONE  11R 22.5-16PR;GRANDSTONE;;150.17;25;20;15;0;2;0;0;50;;140;;;;;;;;;
4;4;GT268 11R 22.5 /16PR;GT268 NEUMATICOS GRANDSTONE  11R 22.5-16PR;GRANDSTONE;;159.77;25;20;15;0;2;0;0;50;;280;;;;;;;;;
5;5;GT168 12R 22.5 /18PR ;GT168 NEUMATICOS GRANDSTONE  12R22.5-18PR;GRANDSTONE;;164.8;25;20;15;0;2;0;0;50;;245;;;;;;;;;
6;6;GT168 295/80R 22.5 /18PR ;GT168 NEUMATICOS GRANDSTONE  295/80R22.5-18PR;GRANDSTONE;;154.97;25;20;15;0;2;0;0;50;;125;;;;;;;;;
7;7;GT268 295/80R 22.5 /18PR;GT268 NEUMATICOS GRANDSTONE  295/80R22.5-18PR;GRANDSTONE;;163.37;25;20;15;0;2;0;0;50;;125;;;;;;;;;
8;8;BT215 425/65R 22.5 / 20PR ;BT215 NEUMATICOS BOTO 425/65R22.5-20PR ;BOTO;;256.69;25;20;15;0;2;0;0;50;;148;;;;;;;;;
10;9;;DTO. PROMOCION 15+1;GRANDSTONE;;0;25;20;15;0;2;0;0;0;;0;;;;;;;;;
11;10;;SERVICIO;GRANDSTONE;;0;25;20;15;0;2;0;0;0;;0;;;;;;;;;
13;12;CPD82 295/80R  22.5 / 18PR ;CPD82NEUMATICOS COMPASAL 295/80R 22.5-18PR;COMPASAL;;160;0;0;0;0;0;0;0;0;;0;;;;;;;;;
14;14;GT238 11R  22.5 / 16PR ;GT238 NEUMATICOS GRANDSTONE  11R 22.5-16PR;GRANDSTONE;;164;0;0;0;0;0;0;0;0;;0;;;;;;;;;
15;15;GT208 12R 20 / 20PR ;GT208 NEUMATICOS GRANDSTONE 12R 20/20PR;GRANDSTONE;;160.97;0;0;0;0;0;0;0;0;;0;;;;;;;;;
19;19;WM939 295/80R 22.5;WM 939 NEUMÁTICOS WINMAX 295/80R 22.5;WINMAX;;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;
