codigo_it;codfabrica_it;producto_it;grupolista_it;marka_it;fabricante_it;precom_it;monelista_it;pv01_it;pv02_it;pv03_it;img_it;stockmin_it;lugar_al_it;view01_it;view02_it;view03_it;view04_it;time_entrega_it;msjpublico_it;obscompra_it;;;;;;;;;;;;;
;VARIOS;AA VARIOS MENORES;;;;0.05;S;0.3;;;;;;;;;;;;;;;;;;;;;;;;;
;ST;AA SERVICIO TECNICO;;;;2;S;25;;;;;;;;;;;;;;;;;;;;;;;;;
;YOGUIS;AA YOGUIS;;;;1.7;S;3.5;;;;;;;;;;;;;;;;;;;;;;;;;
;SNACK;AA SNACK VARIOS;;;;0.05;S;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
2;;ADAPTADOR C-USBh CABLE;;;;8;S;12;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
3;;ADAPTADOR HDMI-VGA CABLE;10000;;;14;S;18;110;0;;0;;S;;;;;;;;;;;;;;;;;;;
4;AUDIO 7.1;ADAPTADOR USB AUDIO 7.1;;AUDIO 7.1;;18;S;22;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
5;ETA1137M;AUDIFONO CALAVERA EWTTOETA1137M;;ETA1137M;;3;S;6;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
6;AUDIVAR;AUDIFONO COLORES - LG, MOTOROLA (VARIOS);;AUDIVAR;;5.5;S;11;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
7;;C?MARA EZVIZ C2C FULL HD;;;;115;S;150;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
8;CF-STD;"COOLER FUENTE EST?NDAR 3"" CASE CYBERCOOL";;CF-STD;;4.6;S;8;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
9;CF-GRANDE;COOLER FUENTE GRANDE ??  CASE CYBERCOOL;;CF-GRANDE;;12;S;18;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
10;HA-69;COOLERPAD FOR NOTEBOOK HA-69 STAND CYBERCOOL;;HA-69;;28;S;35;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
11;HA-80;COOLERPAD FOR NOTEBOOK HA-80 CYBERCOOL BASE ALUMINIO;;HA-80;;55.5;S;65;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
12;HA-K1;COOLERPAD GAMER LAPTOP HA-K1 CYBERCOOL 4X12RED;;HA-K1;;45.6;S;52;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
13;;DISCO SSD KINGSTON 480GB. ESTUCHE A400;;;;107;S;137;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
14;ATX-600W;FUENTE DE PODER ATX 600W HALION CAJA DOBLE BOBINA;;ATX-600W;;40.11;S;50;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
15;FUN-MINI;FUNDA MINILAPTOP;;FUN-MINI;;;S;;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
16;HA-8012;GAME PAD WIRELESS HA-8012 NEGRO HALION;;HA-8012;;44.694;S;52;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
