0;0;VARIOS;AA VARIOS MENORES;0;0;0;0.05;S;0.3;0;0;0;0;0;0;0;0;0;0;0;0
;;ST;AA SERVICIO TECNICO;;;;2;S;25;;;;;;;;;;;;
;;YOGUIS;AA YOGUIS;;;;1.7;S;3.5;;;;;;;;;;;;
;;SNACK;AA SNACK VARIOS;;;;0.05;S;1.2;;;;;;;;;;;;
;;RT558/SPO;AUDIFONO BLUETOOTH WIRELESS  RT558 / SPORTS;;RT558/SPO;;9;S;20.00;;;;;;S;;;;;;
;;ET-A1258M;AUDIFONO CABLE EWTTO (bolsa) ET-A1258M;;ET-A1258M;;3;S;6.00;;;;;;S;;;;;;
;;HA-S40C;"BARRA DE SONIDO HALION HA-S40C+SUBWOOFER 5.25""LED,HDMI,OP,C/R120W";;;;241.2;S;299.00;;;;;;S;;;;;;
;;C BOTELLA;CABLE TIPO C BOTELLA;;C BOTELLA;;7;S;10.00;;;;;;S;;;;;;
;;(celeste);CABLE TIPO C EWTTO CAJITA (celeste);;(celeste);;4;S;6.00;;;;;;S;;;;;;
;;CABLE DATOS;CABLE TIPO C ROMAX;;CABLE DATOS;;7;S;12.00;;;;;;S;;;;;;
;;6A (verde);CABLE TIPO IPAD-MAC  REDD 6a;;6A (verde);;3;S;10.00;;;;;;S;;;;;;
;;6AROMAX;CABLE TIPO IPAD-MAC  ROMAX 6a;;??;;6;S;15.00;;;;;;S;;;;;;
;;3.8A;CABLE TIPO V8 EWTTO;;3.8A;;7;S;12.00;;;;;;S;;;;;;
;;HW-CH-P20PROTC;CARGADOR TIPO C HUAWEI;;HW-CH-P20PROTC;;12;S;23.00;;;;;;S;;;;;;
;;SAM-CH-A8-PP;CARGADOR TIPO V8 SAMSUNG SAM-CH-A8-PP;;SAM-CH-A8-PP;;12;S;25.00;;;;;;S;;;;;;
;;CROSS R16;CASE GAMER HALION CROSS R16 500W 3x12 ARGB ;;CROSS R16;;194.4;S;224.00;;;;;;S;;;;;;
;;TITAN 103;CASE GAMER HALION TITAN 103 SUPER TITAN 103 WHITE VTRGB;;TITAN 103;;255.6;S;299.00;;;;;;S;;;;;;
;;HA-K1;COOLERPAD GAMER CYBERCOOL HA-K1 4X12RED;;HA-K1;;;S;55.00;;;;;;S;;;;;;
;;HA-N10;COOLERPAD GAMER CYBERCOOL HA-N10 RGB  DISPLAY;;HA-N10;;69.66;S;84.00;;;;;;S;;;;;;
;;HA-N12;COOLERPAD GAMER CYBERCOOL HA-N12  3x10RGB AL ;;HA-N12;;66.42;S;78.00;;;;;;S;;;;;;
;;HA-69;COOLERPAD STD CYBERCOOL HA-69;;HA-69;;;S;35.00;;;;;;S;;;;;;
;;GIGABYTE 240;DISCO SSD GIGABYTE 240;;GIGABYTE 240;;;S;80.00;;;;;;S;;;;;;
;;KINGSTON 960;DISCO SSD KINGSTON 960 GB;;KINGSTON 960;;;S;199.00;;;;;;S;;;;;;
;;T-FORCE 480;DISCO SSD T-FORCE 480 ;;T-FORCE 480;;;S;145.00;;;;;;S;;;;;;
;;AUTOMATICO;ESTABILIZADOR AUTOMATICO PVC 1 KVA;;AUTOMATICO;;;S;;;;;;;S;;;;;;
;;SOLIDO TOTAL;ESTABILIZADOR SOLIDO  PVC 1.2 KVA;;SOLIDO TOTAL;;;S;;;;;;;S;;;;;;
;;MANDO HA-2011;GAME PAD HA-2011 NEGRO HALION CABLE;;MANDO HA-2011;;25.92;S;37.00;;;;;;S;;;;;;
